Gene1	Gene2	detectionMethod	intraspeciesInteraction
PSMA1	PSMA7	anti tag coip	Homo sapiens
ARHGEF12	ARHGEF11	anti tag coip	Homo sapiens
ARHGEF12	ARHGEF11	anti tag coip	Homo sapiens
VTI1A	VTI1B	anti tag coip	Homo sapiens
ZNF232	ZNF263	anti tag coip	Homo sapiens
SEPTIN7	SEPTIN9	anti tag coip	Homo sapiens
PARP1	PARP2	anti tag coip	Homo sapiens
ZNF687	ZNF592	anti tag coip	Homo sapiens
PHC1	PHC3	anti tag coip	Homo sapiens
KLHL24	KLHL21	anti tag coip	Homo sapiens
GNL3	GNL3L	proximity-dependent biotin identification	Homo sapiens
ARHGEF28	ARHGEF18	anti tag coip	Homo sapiens
ARHGEF28	ARHGEF18	anti tag coip	Homo sapiens
AJUBA	LIMD1	anti tag coip	Homo sapiens
AJUBA	LIMD1	anti tag coip	Homo sapiens
SLC26A6	SLC26A2	anti tag coip	Homo sapiens
ERGIC1	ERGIC3	fluorescence imaging	Homo sapiens
ERGIC1	ERGIC3	crosslink	Homo sapiens
ERGIC3	ERGIC1	fluorescence imaging	Homo sapiens
ERGIC3	ERGIC1	anti tag coip	Homo sapiens
HSF4	HSF2	anti tag coip	Homo sapiens
CEBPD	CEBPB	peptide array	Homo sapiens
ZBTB26	ZBTB12	validated two hybrid	Homo sapiens
ZBTB12	ZBTB26	two hybrid array	Homo sapiens
ZBTB12	ZBTB26	two hybrid prey pooling approach	Homo sapiens
